ID,C1,C2,C3,C4
Belgium,1030.33,491.56,1347.49,2790.68
Bulgaria,602.02,127.66,1094.22,1804.91
Czechia,821.67,397.7,2655.88,3794.3
Denmark,1461,263.13,2614.58,4306.66
Germany,14255.15,3686.73,14130.27,31148.88
Estonia,116.81,2.86,702.32,819.13
Greece,1115.24,64.37,1426.82,2572.11
Spain,8819.75,271.32,4471.21,13290.97
France,7925.97,3610.85,11154.95,22035.92
Croatia,676.44,77.84,1094.28,1800.63
Ireland,565.09,195.25,263.46,944.73
Italy,9248.11,1678.13,9933.64,20245.21
Cyprus,27.68,15.81,97.26,134.65
Latvia,327.21,37.65,1224.42,1573.65
Lithuania,133.51,64.15,1007.85,1201.07
Luxemburg,34.83,116.18,71.99,175.39
Hungary,268.78,266.83,2010.66,2472.72
Malta,6.43,8.64,12.14,22.89
Netherlands,1007.6,652.73,1247.57,2598.42
Austria,4331.04,903.38,4332.53,9211.42
Poland,1713.64,849.5,4963.72,7382.73
Portugal,2366.05,192.07,2452.69,4970.29
Romania,2081.28,245.73,3531.22,5779.15
Slovenia,420.86,51.41,567.38,1030.6
Slovak Republic,555.53,164.33,502.34,1193.98
Finland,2324.84,989.15,7121.09,9940.75
Sweden,7497.16,1307.47,9313.82,17360.33
United Kingdom,5339.52,725.03,2928.08,8761.63
Iceland,1512.54,7.67,630.92,2147.95
Norway,11900.8,278.56,1338.54,13584.63
Weights,0.25,0.25,0.25,0.25
Type,1,1,1,1
