Country,TOPSIS equal preference value,TOPSIS equal rank,TOPSIS entropy preference value,TOPSIS entropy rank,COMET preference value,COMET rank
A1,0.1027,16,0.1035,16,0.1816,16
A2,0.0613,20,0.0565,20,0.1075,20
A3,0.1215,15,0.1095,15,0.1901,15
A4,0.1509,12,0.1354,14,0.2758,13
A5,1,1,1,1,1,1
A6,0.0305,26,0.026,27,0.0416,27
A7,0.0755,18,0.0709,18,0.1519,17
A8,0.4237,6,0.433,6,0.5911,6
A9,0.7144,2,0.6967,2,0.7641,2
A10,0.0517,21,0.0468,21,0.0971,21
A11,0.0435,24,0.0465,22,0.0765,22
A12,0.5893,3,0.5729,3,0.7021,3
A13,0.0062,29,0.0052,29,0.008,29
A14,0.0515,22,0.0442,23,0.0763,23
A15,0.044,23,0.0378,24,0.0598,25
A16,0.0149,28,0.0161,28,0.014,28
A17,0.08,17,0.0737,17,0.1076,19
A18,0,30,0,30,0,30
A19,0.1423,13,0.1493,11,0.2025,14
A20,0.2527,10,0.2442,9,0.4462,8
A21,0.253,9,0.2358,10,0.363,10
A22,0.1411,14,0.136,13,0.2829,12
A23,0.1566,11,0.1435,12,0.2949,11
A24,0.0282,27,0.0265,26,0.0529,26
A25,0.0363,25,0.0355,25,0.067,24
A26,0.3037,8,0.2686,8,0.435,9
A27,0.519,4,0.5018,4,0.6466,4
A28,0.4442,5,0.4687,5,0.5867,7
A29,0.0621,19,0.0622,19,0.1414,18
A30,0.3631,7,0.3868,7,0.611,5
