Country,TOPSIS equal preference value,TOPSIS equal rank,TOPSIS entropy preference value,TOPSIS entropy rank,COMET preference value,COMET rank
A1,0.1068,16,0.1091,16,0.1793,16
A2,0.0579,20,0.054,20,0.1003,20
A3,0.1242,14,0.114,15,0.1939,14
A4,0.1512,12,0.137,13,0.2755,13
A5,1,1,1,1,1,1
A6,0.0291,26,0.0249,27,0.0397,27
A7,0.0783,18,0.0743,18,0.1546,17
A8,0.4266,5,0.4358,5,0.6081,6
A9,0.7301,2,0.7187,2,0.7747,2
A10,0.0528,21,0.0476,22,0.0969,21
A11,0.0467,23,0.0506,21,0.0727,23
A12,0.6052,3,0.5841,3,0.7318,3
A13,0.0046,29,0.0042,29,0.0061,29
A14,0.0493,22,0.0426,23,0.0738,22
A15,0.0453,24,0.0394,24,0.0626,25
A16,0.0161,28,0.0179,28,0.0106,28
A17,0.0899,17,0.0827,17,0.1188,19
A18,0.0014,30,0.0015,30,0,30
A19,0.1116,15,0.1149,14,0.1818,15
A20,0.2696,9,0.2608,9,0.4569,8
A21,0.243,10,0.2235,10,0.3634,10
A22,0.1449,13,0.1405,12,0.2917,12
A23,0.1657,11,0.153,11,0.307,11
A24,0.0287,27,0.0264,26,0.0538,26
A25,0.0382,25,0.0383,25,0.0679,24
A26,0.3133,8,0.2821,8,0.4376,9
A27,0.5389,4,0.5226,4,0.6649,4
A28,0.398,6,0.4187,6,0.5608,7
A29,0.0601,19,0.0602,19,0.1337,18
A30,0.3753,7,0.3964,7,0.6208,5
